objectid,parentid,filename,youtubeid,vimeoid,title,creator,date,description,subject,location,latitude,longitude,image_thumb,source,identifier,type,format,language,rights,rightsstatement
Senate_Hearings_1974_07,Compound_Senate_Hearings_1974,CHRG-93shrg29544O_1974_TS_p116-1.jpg,,,pp. 116,Subcommittee on Oceans and International Environment,1974,"It appears there were two other foreign weather modification mission approved for future operations, one in Panama, and the other in the Azores. Previously there were two missions conducted in the Phillipines and in Okinawa.Were they classified or unclassified?",congress weather modification,United States,,,,"Fulbright, J. W. (1974). Weather Modications. Senate Subcommittee on Oceans and the Environment.
",,Image,image/jpg,,,
Compound_Weather_Mod_Memo,,CIA-RDP68R00530A000200110020-2_1965.jpg,,,Previously Classified CIA Weather Modification Memo,"Chief, Astro-Geophysics Branch",1965,"This internal CIA document lists many beneficial uses of weather modification if the US can realize accurate control of the weather. It also states that the CIA has a good working relationship with the National Science Foundation (NSF), which operates a US civilian weather modification program. The memo also highlights that the Soviet Union is also working on a weather modification program. Lastly, this memo notes the expected increase in United States funding within many Federal Agencies for this type of research.<br>This document solidifies that many US Federal Agencies were keen on finding beneficial uses for weather modification to aid their missions, from warfare to drought mitigation to limiting destructive hurricane forces. The funding came from many different Federal sources, so the research into weather modification needed to be more cohesive and coordinated. This memo shows the need for a unified approach to weather modification research, which was ultimately placed under NOAA (National Oceanic and Atmospheric Administration). ",1960s weather modification,United States,,,,"Chief, Astro-Geophysics Branch, (1965).  Classified Memo. Chief, Central Intelligence Agency. https://www.cia.gov/readingroom/document/cia-rdp68r00530a000200110020-2
",,,compound_object,,,
Weather_Mod_Memo_01,Compound_Weather_Mod_Memo,CIA-RDP68R00530A000200110020-2_1965.jpg,,,Cover Page,"Chief, Astro-Geophysics Branch",1965,Early Weather Modification Summary Documents,1960s weather modification,United States,,,,"Chief, Astro-Geophysics Branch, (1965).  Classified Memo. Chief, Central Intelligence Agency. https://www.cia.gov/readingroom/document/cia-rdp68r00530a000200110020-2
",,Image,image/jpg,,,
Weather_Mod_Memo_02,Compound_Weather_Mod_Memo,CIA-RDP68R00530A000200110020-2_1965_p8-1.jpg,,,pp. 8,"Chief, Astro-Geophysics Branch",1965,This CIA document lists many beneficial uses of weather modification if the US can realize true control of the weather,1960s weather modification,United States,,,,"Chief, Astro-Geophysics Branch, (1965).  Classified Memo. Chief, Central Intelligence Agency. https://www.cia.gov/readingroom/document/cia-rdp68r00530a000200110020-2
",,Image,image/jpg,,,
Weather_Mod_Memo_03,Compound_Weather_Mod_Memo,CIA-RDP68R00530A000200110020-2_1965_p14-1.jpg,,,pp.14,"Chief, Astro-Geophysics Branch",1965,A list by the CIA of US Federal projects involved in weather modification research,1960s weather modification,United States,,,,"Chief, Astro-Geophysics Branch, (1965).  Classified Memo. Chief, Central Intelligence Agency. https://www.cia.gov/readingroom/document/cia-rdp68r00530a000200110020-2
",,Image,image/jpg,,,
Weather_Mod_Memo_04,Compound_Weather_Mod_Memo,CIA-RDP68R00530A000200110020-2_1965_p1.jpg,,,pp.1,"Chief, Astro-Geophysics Branch",1965,Comparison of the US advances in weather modifications to the USSR's gains,1960s weather modification,United States,,,,"Chief, Astro-Geophysics Branch, (1965).  Classified Memo. Chief, Central Intelligence Agency. https://www.cia.gov/readingroom/document/cia-rdp68r00530a000200110020-2
",,Image,image/jpg,,,
Compound_Annual_Report,,,,,Annual Report to The President and The Congress by the National Advisory Committee on Oceans and Atmosphere,National Advisory Committee on Oceans and Atmosphere,1972,"NACOA's inaugural annual report comprehensively analyzed oceanic and atmospheric policy challenges. The report established foundational guidelines for future environmental governance through a detailed examination of maritime law, fisheries rehabilitation strategies, weather modification initiatives, and coastal management frameworks. NACOA calls for more decisive federal leadership in these areas, recommending that NOAA take the lead in coordinating efforts related to weather modification and other atmospheric issues.",,,,,,"United States. National Advisory Committee on Oceans and Atmosphere. (1972). A report to the President and the Congress. Washington, D.C.: The Committee .",,,compound_object,,,
Annual_Report_01,Compound_Annual_Report,CZIC-gc1-u384-1972_AR.jpg,,,Cover Page: Annual Report to The President and The Congress by the National Advisory Committee on Oceans and Atmosphere,National Advisory Committee on Oceans and Atmosphere,1972,"Annual Report on activities of the United States on Ocean and Atmospheric Matters, including Weather Modification",1970s weather modification; Annual Report,United States,,,,"United States. National Advisory Committee on Oceans and Atmosphere. (1972). A report to the President and the Congress. Washington, D.C.: The Committee .",,Image,image/jpg,,,
Annual_Report_02,Compound_Annual_Report,CZIC-gc1-u384-1972_AR_19_29-01.jpg,,,Annual Report to The President and The Congress by the National Advisory Committee on Oceans and Atmosphere,National Advisory Committee on Oceans and Atmosphere,1972,"In Cold War parlance, a comparison to Soviet Union successes in weather modification to supress hail. This document highlights that weather modification does have great potential for benefits to society, but also has equally risky social implications.",1970s weather modification; Annual Report,United States,,,,"United States. National Advisory Committee on Oceans and Atmosphere. (1972). A report to the President and the Congress. Washington, D.C.: The Committee .",,Image,image/jpg,,,
Annual_Report_03,Compound_Annual_Report,CZIC-gc1-u384-1972_AR_19_29-02.jpg,,,Annual Report to The President and The Congress by the National Advisory Committee on Oceans and Atmosphere,National Advisory Committee on Oceans and Atmosphere,1972,"A recommendation for the Federal Government to begin regulating weather modification, both within the government and in commercial operations",1970s weather modification; Annual Report,United States,,,,"United States. National Advisory Committee on Oceans and Atmosphere. (1972). A report to the President and the Congress. Washington, D.C.: The Committee .",,Image,image/jpg,,,
Annual_Report_04,Compound_Annual_Report,CZIC-gc1-u384-1972_AR_19_29-03.jpg,,,Annual Report to The President and The Congress by the National Advisory Committee on Oceans and Atmosphere,National Advisory Committee on Oceans and Atmosphere,1972,"Discussion of moving the US civilian research project StormFury to the Pacific versus the Atlantic, and to begin an effort to garner international support via an conference to be held in 1974.",1970s weather modification; Annual Report,United States,,,,"United States. National Advisory Committee on Oceans and Atmosphere. (1972). A report to the President and the Congress. Washington, D.C.: The Committee .",,Image,image/jpg,,,
Annual_Report_05,Compound_Annual_Report,CZIC-gc1-u384-1972_AR_19_29-04.jpg,,,Annual Report to The President and The Congress by the National Advisory Committee on Oceans and Atmosphere,National Advisory Committee on Oceans and Atmosphere,1972,A brief history of weather modification from its first use in 1946 until the 1960's.,1970s weather modification; Annual Report,United States,,,,"United States. National Advisory Committee on Oceans and Atmosphere. (1972). A report to the President and the Congress. Washington, D.C.: The Committee .",,Image,image/jpg,,,
Annual_Report_06,Compound_Annual_Report,CZIC-gc1-u384-1972_AR_19_29-08.jpg,,,Annual Report to The President and The Congress by the National Advisory Committee on Oceans and Atmosphere,National Advisory Committee on Oceans and Atmosphere,1972,Outlining the problem with actually determining the success of a weather modification mission.,1970s weather modification; Annual Report,United States,,,,"United States. National Advisory Committee on Oceans and Atmosphere. (1972). A report to the President and the Congress. Washington, D.C.: The Committee .",,Image,image/jpg,,,
Annual_Report_07,Compound_Annual_Report,CZIC-gc1-u384-1972_AR_19_29-09.jpg,,,Annual Report to The President and The Congress by the National Advisory Committee on Oceans and Atmosphere,National Advisory Committee on Oceans and Atmosphere,1972,"A note that NOAA has been approved as the lead Federal agency in weather modification, mitigating the past problems of various Federal research projects happening without an over",1970s weather modification; Annual Report,United States,,,,"United States. National Advisory Committee on Oceans and Atmosphere. (1972). A report to the President and the Congress. Washington, D.C.: The Committee .",,Image,image/jpg,,,
Annual_Report_08,Compound_Annual_Report,CZIC-gc1-u384-1972_AR_19_29-10.jpg,,,Annual Report to The President and The Congress by the National Advisory Committee on Oceans and Atmosphere,National Advisory Committee on Oceans and Atmosphere,1972,This document outlines the problems with unregulated weather modification activity by government and commercial operators,1970s weather modification; Annual Report,United States,,,,"United States. National Advisory Committee on Oceans and Atmosphere. (1972). A report to the President and the Congress. Washington, D.C.: The Committee .",,Image,image/jpg,,,
Annual_Report_09,Compound_Annual_Report,CZIC-gc1-u384-1972_AR_19_29-11.jpg,,,Annual Report to The President and The Congress by the National Advisory Committee on Oceans and Atmosphere,National Advisory Committee on Oceans and Atmosphere,1972,There is a call for better quantification of the results of weather modification activities.,1970s weather modification; Annual Report,United States,,,,"United States. National Advisory Committee on Oceans and Atmosphere. (1972). A report to the President and the Congress. Washington, D.C.: The Committee .",,Image,image/jpg,,,
Annual_Report_10,Compound_Annual_Report,CZIC-gc1-u384-1972_AR_p6_8-1.jpg,,,Annual Report to The President and The Congress by the National Advisory Committee on Oceans and Atmosphere,National Advisory Committee on Oceans and Atmosphere,1972,"An outline of the areas that need attention for successful weather control: legislation, research and technology, hurricane control, public policy, and international relations.",1970s weather modification; Annual Report,United States,,,,"United States. National Advisory Committee on Oceans and Atmosphere. (1972). A report to the President and the Congress. Washington, D.C.: The Committee .",,Image,image/jpg,,,
Annual_Report_11,Compound_Annual_Report,CZIC-gc1-u384-1972_AR_p6_8-2.jpg,,,Annual Report to The President and The Congress by the National Advisory Committee on Oceans and Atmosphere,National Advisory Committee on Oceans and Atmosphere,1972,The recommendation for a single Federal agency to be the lead for all weather modification activity.,1970s weather modification; Annual Report,United States,,,,"United States. National Advisory Committee on Oceans and Atmosphere. (1972). A report to the President and the Congress. Washington, D.C.: The Committee .",,Image,image/jpg,,,
Annual_Report_12,Compound_Annual_Report,CZIC-gc1-u384-1972_AR_p6_8-3.jpg,,,Annual Report to The President and The Congress by the National Advisory Committee on Oceans and Atmosphere,National Advisory Committee on Oceans and Atmosphere,1972,"A document stating there are scientific exchanges with the Soviet Union and other countries on weather modification, but also highlights there are grave impacts that must be looked into.",1970s weather modification; Annual Report,United States,,,,"United States. National Advisory Committee on Oceans and Atmosphere. (1972). A report to the President and the Congress. Washington, D.C.: The Committee .",,Image,image/jpg,,,
Compound_StormFury,,,,,Project StormFury 1971 Annual Report,Departments of Navy and Commerce,,"The Project Stormfury Annual Report, 1971 outlines the progress and findings of a U.S. government initiative to modify hurricanes through cloud seeding. Conducted under the joint auspices of the U.S. Department of the Navy and the National Oceanic and Atmospheric Administration (NOAA), the report details experimental efforts to weaken tropical cyclones by dispersing silver iodide into their eyewalls. The document provides an overview of the scientific methods, results, and challenges faced during the 1971 season, reflecting on the feasibility of hurricane modification to reduce storm damage.<br>This source effectively highlights the scope and ambition of Project Stormfury, offering valuable insights into mid-20th-century meteorological experimentation and its intersection with government policy. However, its technical nature and focus on scientific details may make it less accessible to general readers or those unfamiliar with meteorological concepts. As an information source, it is highly specialized and most useful for researchers studying weather modification history or government-led scientific initiatives. Its utility could be enhanced with more straightforward explanations of technical terms and broader contextualization of its significance within climate science advancements",Project Storm Fury,,,,,"White, R. M. (1972), 1971 Project Storm Fury Annual Report, Department of Commerce and the Deparment of the Navy. Retrieved from the Digital Public Library of America, http://digitalcollections.lib.washington.edu/cdm/ref/collection/ww-text/id/13507",,,compound_object,,,
StormFury_00,Compound_StormFury,StormFury_ww-text_13507.jpg,,,Cover Page,Departments of Navy and Commerce,1971,Annual Report on the efforts to determine the potential for modification of tropical cyclones ,Project Storm Fury,"Miami, Fl",25.7,-80.3,,"White, R. M. (1972), 1971 Project Storm Fury Annual Report, Department of Commerce and the Deparment of the Navy. Retrieved from the Digital Public Library of America, http://digitalcollections.lib.washington.edu/cdm/ref/collection/ww-text/id/13507",,Image,image/jpg,,,
StormFury_01,Compound_StormFury,StormFury_01.jpg,,,p_ii,Departments of Navy and Commerce,1962,Statement for us to move more vigorously forward in controlling the weather.,Project Storm Fury,"Miami, Fl",25.7,-80.3,,"White, R. M. (1972), 1971 Project Storm Fury Annual Report, Department of Commerce and the Deparment of the Navy. Retrieved from the Digital Public Library of America, http://digitalcollections.lib.washington.edu/cdm/ref/collection/ww-text/id/13507",,Image,image/jpg,,,
StormFury_02,Compound_StormFury,StormFury_02.jpg,,,pp. 2,Departments of Navy and Commerce,1962,A list of unclassified weather modification projects from 1961-1971,Project Storm Fury,"Miami, Fl",25.7,-80.3,,"White, R. M. (1972), 1971 Project Storm Fury Annual Report, Department of Commerce and the Deparment of the Navy. Retrieved from the Digital Public Library of America, http://digitalcollections.lib.washington.edu/cdm/ref/collection/ww-text/id/13507",,Image,image/jpg,,,
StormFury_03,Compound_StormFury,StormFury_03.jpg,,,pp. 40,Departments of Navy and Commerce,1962,Discussion of how silver-iodide flares will be used to in portions of a hurricane to change moisture levels.,Project Storm Fury,"Miami, Fl",25.7,-80.3,,"White, R. M. (1972), 1971 Project Storm Fury Annual Report, Department of Commerce and the Deparment of the Navy. Retrieved from the Digital Public Library of America, http://digitalcollections.lib.washington.edu/cdm/ref/collection/ww-text/id/13507",,Image,image/jpg,,,
StormFury_04,Compound_StormFury,StormFury_04.jpg,,,pp. 48,Departments of Navy and Commerce,1962,Results stating that the hurricane weather modification experiments in 1971 had no objective measurements of difference ,Project Storm Fury,"Miami, Fl",25.7,-80.3,,"White, R. M. (1972), 1971 Project Storm Fury Annual Report, Department of Commerce and the Deparment of the Navy. Retrieved from the Digital Public Library of America, http://digitalcollections.lib.washington.edu/cdm/ref/collection/ww-text/id/13507",,Image,image/jpg,,,
StormFury_05,Compound_StormFury,StormFury_05.jpg,,,pp. 52,Departments of Navy and Commerce,1962,"Again, no evidence of increased cloud formations",Project Storm Fury,"Miami, Fl",25.7,-80.3,,"White, R. M. (1972), 1971 Project Storm Fury Annual Report, Department of Commerce and the Deparment of the Navy. Retrieved from the Digital Public Library of America, http://digitalcollections.lib.washington.edu/cdm/ref/collection/ww-text/id/13507",,Image,image/jpg,,,
StormFury_06,Compound_StormFury,StormFury_06.jpg,,,pp. 53,Departments of Navy and Commerce,1962,Concluding remark that evidence for any new cumlonimbus was lacking.,Project Storm Fury,"Miami, Fl",25.7,-80.3,,"White, R. M. (1972), 1971 Project Storm Fury Annual Report, Department of Commerce and the Deparment of the Navy. Retrieved from the Digital Public Library of America, http://digitalcollections.lib.washington.edu/cdm/ref/collection/ww-text/id/13507",,Image,image/jpg,,,
StormFury_07,Compound_StormFury,StormFury_07.jpg,,,pp. 137,Departments of Navy and Commerce,1962,Image of a silver iodide deployment pod on a DC-6.,Project Storm Fury,"Miami, Fl",25.7,-80.3,,"White, R. M. (1972), 1971 Project Storm Fury Annual Report, Department of Commerce and the Deparment of the Navy. Retrieved from the Digital Public Library of America, http://digitalcollections.lib.washington.edu/cdm/ref/collection/ww-text/id/13507",,Image,image/jpg,,,
StormFury_08,Compound_StormFury,StormFury_08.jpg,,,pp. 157,Departments of Navy and Commerce,1962,Discussion to move the reasearch from the Atlantic to the Pacific in order to have potnetially more tropical cyclones to fly into.,Project Storm Fury,Guam,13,145,,"White, R. M. (1972), 1971 Project Storm Fury Annual Report, Department of Commerce and the Deparment of the Navy. Retrieved from the Digital Public Library of America, http://digitalcollections.lib.washington.edu/cdm/ref/collection/ww-text/id/13507",,Image,image/jpg,,,
StormFury_09,Compound_StormFury,StormFury_09.jpg,,,pp. 158,Departments of Navy and Commerce,1962,Mitigation of possible negative effects of weather modification; not flying into cyclones that would have the chance of coming within 50 nautical miles of a populated landscape within 24hours of the cloud seeding activity.,Project Storm Fury,Guam,13,145,,"White, R. M. (1972), 1971 Project Storm Fury Annual Report, Department of Commerce and the Deparment of the Navy. Retrieved from the Digital Public Library of America, http://digitalcollections.lib.washington.edu/cdm/ref/collection/ww-text/id/13507",,Image,image/jpg,,,
StormFury_10,Compound_StormFury,StormFury_10.jpg,,,pp. 159,Departments of Navy and Commerce,1962,Increasing the mitigation strategy to 108 nautical miles of Japan within 24 hours of the cloud seeding.,Project Storm Fury,Guam,13,145,,"White, R. M. (1972), 1971 Project Storm Fury Annual Report, Department of Commerce and the Deparment of the Navy. Retrieved from the Digital Public Library of America, http://digitalcollections.lib.washington.edu/cdm/ref/collection/ww-text/id/13507",,Image,image/jpg,,,
StormFury_11,Compound_StormFury,StormFury_11.jpg,,,pp. 160,Departments of Navy and Commerce,1962,Additional mitigation requirement that the typhoon must have at lease 12 hours of daylight within the authorized area to be eligible for cloud seeding.,Project Storm Fury,Guam,13,145,,"White, R. M. (1972), 1971 Project Storm Fury Annual Report, Department of Commerce and the Deparment of the Navy. Retrieved from the Digital Public Library of America, http://digitalcollections.lib.washington.edu/cdm/ref/collection/ww-text/id/13507",,Image,image/jpg,,,
Compound_Dyrenforth,,,,,"Letter from the Secretary of Agriculture, in response to Senate resolution of February 23, 1892, transmitting the report of the agent of the Department of Agriculture for making experiments in the production of rainfall",Department of Agriculture,1892,"his early experiment in the 1890s tried to conduct weather modification by creating rain over portions of Texas between the towns of San Diego and El Paso. The Department of Agriculture was trying to see if explosions from balloons could cause rainfall due to concussive activity. While there were eyewitness accounts to attest to the creation of rainfall, there were other proven methods. Trying to induce rainfall via explosions from balloons was also expensive.<br>Although the experiment proved that concussion force can trigger rain, it was deemed costly and impractical at the time. It is fascinating to see such an early exploration and how it evolved despite its lack of definitive success.",weather modification,,,,,,,,compound_object,,,
Dyrenforth_01,Compound_Dyrenforth,Dyrenforth_cover.jpg,,,Cover Page,Department of Agriculture,,A report of rain making activity in Texas due to explosions caused by aerial balloons,weather modification,"San Diego, TX",27.76,-98.24,,"United States. Congress. Senate. Letter from the Secretary of Agriculture, in response to Senate resolution of February 23, 1892; February 25, 1892. ",,Image,image/jpg,,,
Dyrenforth_02,Compound_Dyrenforth,Dyrenforth_p70.jpg,,,p70,Department of Agriculture,,Positive report on the human production of rainfall in Texas,weather modification,"San Diego, TX",27.76,-98.24,,"United States. Congress. Senate. Letter from the Secretary of Agriculture, in response to Senate resolution of February 23, 1892; February 25, 1892. ",,Image,image/jpg,,,
